inventario_id;cliente_id;Locacion;Ciudad;tipo_equipo;marca;modelo;plan_id;actividad;frecuencia_meses;criticidad;programado_para;programado_para_normalizada;estado;fecha_ejecucion_normalizada;fecha_ejecucion;responsable;duracion_estimada_h
EQP-0082;CLI-001;Planta 4 - Ushuaia; Ushuaia;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/3/2025;Planificado;;Sin datos;L. GÓMEZ;5
EQP-0082;CLI-001;Planta 4 - Tolhuin; Tolhuin;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/3/2023;Planificado;;Sin datos;M. GÓMEZ;5
EQP-0041;CLI-005;Taller 2 - Ushuaia; Ushuaia;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/7/2024;Planificado;;Sin datos;M. GÓMEZ;5
EQP-0058;CLI-008;Oficina 5 - Ushuaia; Ushuaia;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;;Planificado;;Sin datos;S. LÓPEZ;5
EQP-0058;CLI-008;Oficina 5 - Río Grande; Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/12/2024;Planificado;;Sin datos;L. GÓMEZ;5
EQP-0044;CLI-017;Taller 5 - Río Grande; Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/1/2023;Planificado;;Sin datos;L. GÓMEZ;5
EQP-0001;CLI-025;Sucursal 3 - Río Grande; Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/7/2022;Planificado;;Sin datos;J. PÉREZ;5
EQP-0018;CLI-026;Obra 3 - Río Grande; Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/1/2023;Planificado;;Sin datos;R. SOTO;5
EQP-0066;CLI-026;Obra 5 - Río Grande; Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/4/2025;Planificado;;Sin datos;A. TORRES;5
EQP-0066;CLI-026;Obra 5 - Ushuaia; Ushuaia;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/7/2022;Planificado;;Sin datos;J. PÉREZ;5
EQP-0066;CLI-026;Obra 5 - Tolhuin; Tolhuin;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/1/2025;Planificado;;Sin datos;S. LÓPEZ;5
