servicio_id;inventario_id;cliente_id;cliente_nombre;tipo_equipo;marca;modelo;plan_id;actividad;fecha_inicio;fecha_fin;horas_servicio;Horas_servicio_HHMM;tecnico;resultado;repuestos_usados;costo_manodeobra_ars;costo_repuestos_ars;costo_total_ars;ubicacion;Repuestos_Usados_Filtro;Ubicacion_Clientes;Tecnicos_Bigtools
SV-000001;EQP-0005;CLI-001;Cliente 001;Motor Cummins;Cummins;QSB 6.7;CU-001;Cambio de aceite y filtro de lubricación;6/5/2024;6/6/2024;252;2h 31min;L. Gómez;OK;"aceite:31967; filtro_aceite:11864";88200;43831;132031;Oficina 2 - Tolhuin;Se_utilizo_repuestos;Tolhuin;Técnico 3: Gómez L.
SV-000002;EQP-0005;CLI-001;Cliente 001;Motor Cummins;Cummins;QSB 6.7;CU-001;Cambio de aceite y filtro de lubricación;4/12/2024;5/12/2024;7861;7h 37min;R. Soto;Reparado;"aceite:22933; filtro_aceite:11885";66850;34818;101668;Oficina 2 - Tolhuin;Se_utilizo_repuestos;Tolhuin;Técnico 6: Soto
SV-000003;EQP-0005;CLI-001;Cliente 001;Motor Cummins;Cummins;QSB 6.7;CU-002;Revisión de inyectores y limpieza de bomba;30/5/2024;31/12/1999;276;2h 46min;M. Gómez;OK;Sin_repuestos;0;0;96600;Oficina 2 - Tolhuin;Sin_repuestos;Tolhuin;Técnico 4: Gomez M.
SV-000004;EQP-0005;CLI-001;Cliente 001;Motor Cummins;Cummins;QSB 6.7;CU-002;Revisión de inyectores y limpieza de bomba;29/5/2025;30/5/2025;314;3h 8min;A. Torres;Reparado;Sin_repuestos;109900;0;109900;Oficina 2 - Tolhuin;Sin_repuestos;Tolhuin;Técnico 1: Torres
SV-000005;EQP-0005;CLI-001;Cliente 001;Motor Cummins;Cummins;QSB 6.7;CU-003;Sustitución de filtro de aire primario/secundario;24/5/2024;25/5/2024;106;1h 4min;A. Torres;Observaciones;filtro_aire:22744;37100;22744;59844;Oficina 2 - Tolhuin;Se_utilizo_repuestos;Tolhuin;Técnico 1: Torres
SV-000006;EQP-0005;CLI-001;Cliente 001;Motor Cummins;Cummins;QSB 6.7;CU-003;Sustitución de filtro de aire primario/secundario;27/11/2024;28/11/2024;84;0h 50min;S. López;OK;filtro_aire:13350;29400;13350;42750;Oficina 2 - Tolhuin;Se_utilizo_repuestos;Tolhuin;Tecnico 7: López
SV-000007;EQP-0005;CLI-001;Cliente 001;Motor Cummins;Cummins;QSB 6.7;CU-003;Sustitución de filtro de aire primario/secundario;26/5/2025;27/5/2025;107;1h 4min;A. Torres;OK;filtro_aire:27968;37450;27968;65418;Oficina 2 - Tolhuin;Se_utilizo_repuestos;Tolhuin;Técnico 1: Torres
SV-000008;EQP-0005;CLI-001;Cliente 001;Motor Cummins;Cummins;QSB 6.7;CU-004;Limpieza de sistema de refrigeración y verificación de termostato;6/6/2024;7/6/2024;181;1h 49min;J. Pérez;OK;Sin_repuestos;63350;0;63350;Oficina 2 - Tolhuin;Sin_repuestos;Tolhuin;Técnico 2: Pérez
SV-000009;EQP-0005;CLI-001;Cliente 001;Motor Cummins;Cummins;QSB 6.7;CU-004;Limpieza de sistema de refrigeración y verificación de termostato;7/6/2025;8/6/2025;212;2h 7min;J. Pérez;OK;Sin_repuestos;74200;0;74200;Oficina 2 - Tolhuin;Sin_repuestos;Tolhuin;Técnico 2: Pérez
SV-000010;EQP-0005;CLI-001;Cliente 001;Motor Cummins;Cummins;QSB 6.7;CU-005;Cambio de filtro de combustible;30/11/2024;1/12/2024;95;0h 57min;R. Soto;OK;filtro_combustible:12214;33250;12214;0;Oficina 2 - Tolhuin;Se_utilizo_repuestos;Tolhuin;Técnico 6: Soto
