inventario_id,cliente_id,cliente_nombre,tipo_equipo,marca,modelo,fecha_lectura,horometro_h,ubicacion
EQP-0041,CLI-005,Cliente 005,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2023-08-01T00:00:00Z,2182,Taller 2 - Río Grande
EQP-0008,CLI-023,Cliente 023,Hidrolavadora Karcher,Kärcher,HDS 9/18-4 M,2024-02-01T00:00:00Z,3890,Sucursal 4 - Río Grande
EQP-0035,CLI-026,Cliente 026,Generador Generac Guardian,Generac,Guardian 13 kVA (50Hz),2025-03-01T00:00:00Z,531,Oficina 3 - Tolhuin
EQP-0018,CLI-026,Cliente 026,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2024-12-01T00:00:00Z,11779,Obra 3 - Ushuaia
EQP-0078,CLI-005,Cliente 005,Hidrolavadora Karcher,Kärcher,HDS 12/18-4 S,2023-11-01T00:00:00Z,91,Planta 3 - Tolhuin
EQP-0003,CLI-048,Cliente 048,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2025-04-01T00:00:00Z,2546,Taller 3 - Ushuaia
EQP-0075,CLI-049,Cliente 049,Motor Cummins,Cummins,QSB 4.5,2022-07-01T00:00:00Z,-3365,Oficina 2 - Río Grande
EQP-0019,CLI-036,Cliente 036,Generador Generac Guardian,Generac,Guardian 13 kVA (50Hz),2024-03-01T00:00:00Z,658,Planta 1 - Río Grande
EQP-0030,CLI-036,Cliente 036,Motor Cummins,Cummins,QSB 6.7,2025-03-01T00:00:00Z,89712,Taller 4 - Río Grande
EQP-0057,CLI-030,Cliente 030,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2024-06-01T00:00:00Z,3019,Planta 4 - Ushuaia
EQP-0085,CLI-001,Cliente 001,Generador Generac Guardian,Generac,Guardian 8 kVA (50Hz),2022-05-01T00:00:00Z,509,Depósito 3 - Ushuaia
EQP-0021,CLI-026,Cliente 026,Motor Cummins,Cummins,QSB 4.5,2023-01-07T00:00:00Z,1616,Obra 2 - Río Grande
EQP-0020,CLI-028,Cliente 028,Motor Cummins,Cummins,QSB 4.5,2023-08-01T00:00:00Z,750,Depósito 3 - Tolhuin
EQP-0064,CLI-038,Cliente 038,Hidrolavadora Karcher,Kärcher,HDS 12/18-4 S,2022-03-01T00:00:00Z,179,Depósito 4 - Ushuaia
EQP-0060,CLI-049,Cliente 049,Generador Generac Guardian,Generac,Guardian 8 kVA (50Hz),2025-10-01T00:00:00Z,1966,Obra 3 - Tolhuin
EQP-0018,CLI-026,Cliente 026,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2023-05-01T00:00:00Z,1158,Obra 3 - Río Grande
EQP-0019,CLI-036,Cliente 036,Generador Generac Guardian,Generac,Guardian 13 kVA (50Hz),2023-01-09T00:00:00Z,229,Planta 1 - Ushuaia
EQP-0087,CLI-038,Cliente 038,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2025-04-01T00:00:00Z,3077,Oficina 1 - Ushuaia
EQP-0068,CLI-049,Cliente 049,Motor Cummins,Cummins,QSB 6.7,2024-10-01T00:00:00Z,2825,Oficina 3 - Ushuaia
EQP-0012,CLI-030,Cliente 030,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2024-10-01T00:00:00Z,101361,Depósito 2 - Río Grande
EQP-0030,CLI-036,Cliente 036,Motor Cummins,Cummins,QSB 6.7,2024-01-01T00:00:00Z,1428,Taller 4 - Tolhuin
EQP-0037,CLI-032,Cliente 032,Generador Generac Guardian,Generac,Guardian 13 kVA (50Hz),2022-01-01T00:00:00Z,152,Obra 3 - Tolhuin
EQP-0036,CLI-044,Cliente 044,Generador Generac Guardian,Generac,Guardian 10 kVA (50Hz),2022-02-01T00:00:00Z,275,Taller 2 - Ushuaia
EQP-0044,CLI-017,Cliente 017,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2022-03-01T00:00:00Z,377,Taller 5 - Río Grande
EQP-0093,CLI-030,Cliente 030,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2025-03-01T00:00:00Z,3700,Sucursal 4 - Río Grande
EQP-0031,CLI-049,Cliente 049,Hidrolavadora Karcher,Kärcher,HDS 12/18-4 S,2025-01-01T00:00:00Z,1191,Oficina 3 - Río Grande
