servicio_id;inventario_id;cliente_id;cliente_nombre;tipo_equipo;marca;modelo;plan_id;actividad;fecha_inicio;fecha_fin;horas_servicio;tecnico;resultado;repuestos_usados;costo_manodeobra_ars;costo_repuestos_ars;costo_total_ars;ubicacion;Ubicacion_cliente;Tecnicos_Bigtools;Horas_servicio_HHMM;Inicio_Service;Fin_service;Año
SV-000088;EQP-0082;CLI-001;Cliente 001;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;30/8/2023 21:00;31/8/2023 21:00;1,5;A. Torres;OK;sin_repuestos;17.080;0;17.080;Planta 4 - Rio Grande;Rio Grande;Tecnico 6;1h 30min;30/8/2023;31/8/2023;2023
SV-000189;EQP-0022;CLI-004;Cliente 004;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;27/9/2023 21:00;28/9/2023 21:00;0,6;M. Gómez;OK;sin_repuestos;16.800;0;16.800;Planta 4 - Rio Grande;Rio Grande;Tecnico 7;0h 36min;27/9/2023;28/9/2023;2023
SV-000271;EQP-0041;CLI-005;Cliente 005;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;1/1/2025 21:00;2/1/2025 21:00;0,71;A. Torres;OK;sin_repuestos;19.880;0;19.880;Taller 2 - Rio Grande;Rio Grande;Tecnico 6;0h 43min;1/1/2025;2/1/2025;2025
SV-000298;EQP-0045;CLI-005;Cliente 005;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;24/9/2024 21:00;25/9/2024 21:00;0,73;J. Pérez;OK;sin_repuestos;20.440;0;20.440;Sucursal 3 - Rio Grande;Rio Grande;Tecnico 1;0h 44min;24/9/2024;25/9/2024;2024
SV-000509;EQP-0083;CLI-005;Cliente 005;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;1/10/2022 21:00;2/10/2022 21:00;1,5;L. Gómez;OK;sin_repuestos;12.600;0;12.600;Planta 5 - Rio Grande;Rio Grande;Tecnico 2;1h 30min;1/10/2022;2/10/2022;2022
SV-000512;EQP-0083;CLI-005;Cliente 005;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;1/7/2023 21:00;2/7/2023 21:00;0,3;J. Pérez;OK;sin_repuestos;8.400;0;8.400;Planta 5 - Rio Grande;Rio Grande;Tecnico 1;0h 18min;1/7/2023;2/7/2023;2023
SV-000513;EQP-0083;CLI-005;Cliente 005;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;24/9/2023 21:00;25/9/2023 21:00;0,37;R. Soto;OK;sin_repuestos;10.360;0;10.360;Planta 5 - Rio Grande;Rio Grande;Tecnico 4;0h 22min;24/9/2023;25/9/2023;2023
SV-000514;EQP-0083;CLI-005;Cliente 005;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;28/3/2024 21:00;29/3/2024 21:00;0,52;R. Soto;OK;sin_repuestos;14.560;0;14.560;Planta 5 - Rio Grande;Rio Grande;Tecnico 4;0h 31min;28/3/2024;29/3/2024;2024
SV-000578;EQP-0099;CLI-005;Cliente 005;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;6/1/2023 21:00;7/1/2023 21:00;0,64;A. Torres;OK;sin_repuestos;17.920;0;17.920;Deposito 4 - Rio Grande;Rio Grande;Tecnico 6;0h 38min;6/1/2023;7/1/2023;2023
SV-000581;EQP-0099;CLI-005;Cliente 005;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;2/1/2024 21:00;3/1/2024 21:00;0,53;S. López;OK;sin_repuestos;14.840;0;14.840;Deposito 4 - Rio Grande;Rio Grande;Tecnico 5;0h 32min;2/1/2024;3/1/2024;2024
SV-000582;EQP-0099;CLI-005;Cliente 005;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;2/4/2024 21:00;3/4/2024 21:00;0,59;M. Ruiz;OK;sin_repuestos;16.520;0;16.520;Deposito 4 - Rio Grande;Rio Grande;Tecnico 3;0h 35min;2/4/2024;3/4/2024;2024
SV-000633;EQP-0058;CLI-008;Cliente 008;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;31/8/2023 21:00;31/8/2023 21:00;0,44;S. López;OK;sin_repuestos;12.320;0;12.320;Oficina 5 - Rio Grande;Rio Grande;Tecnico 5;0h 26min;31/8/2023;31/8/2023;2023
SV-000635;EQP-0058;CLI-008;Cliente 008;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;20/2/2025 21:00;21/2/2025 21:00;0,45;M. Ruiz;OK;sin_repuestos;12.600;0;12.600;Oficina 5 - Rio Grande;Rio Grande;Tecnico 3;0h 27min;20/2/2025;21/2/2025;2025
SV-000844;EQP-0044;CLI-017;Cliente 017;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;26/12/2021 21:00;27/12/2021 21:00;0,52;L. Gómez;OK;sin_repuestos;14.560;0;14.560;Taller 5 - Rio Grande;Rio Grande;Tecnico 2;0h 31min;26/12/2021;27/12/2021;2021
SV-000849;EQP-0044;CLI-017;Cliente 017;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;27/6/2023 21:00;28/6/2023 21:00;0,5;L. Gómez;OK;sin_repuestos;14.000;0;14.000;Taller 5 - Rio Grande;Rio Grande;Tecnico 2;0h 30min;27/6/2023;28/6/2023;2023
SV-000850;EQP-0044;CLI-017;Cliente 017;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;26/12/2023 21:00;27/12/2023 21:00;0,5;R. Soto;OK;sin_repuestos;14.000;0;14.000;Taller 5 - Rio Grande;Rio Grande;Tecnico 4;0h 30min;26/12/2023;27/12/2023;2023
SV-000853;EQP-0044;CLI-017;Cliente 017;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;5/7/2025 21:00;6/7/2025 21:00;0,54;A. Torres;OK;sin_repuestos;15.120;0;15.120;Taller 5 - Rio Grande;Rio Grande;Tecnico 6;0h 32min;5/7/2025;6/7/2025;2025
SV-000854;EQP-0044;CLI-017;Cliente 017;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;22/9/2025 21:00;23/9/2025 21:00;0,26;M. Ruiz;OK;sin_repuestos;7.280;0;7.280;Taller 5 - Rio Grande;Rio Grande;Tecnico 3;0h 16min;22/9/2025;23/9/2025;2025
SV-001086;EQP-0001;CLI-025;Cliente 025;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;24/12/2021 21:00;25/12/2021 21:00;0,5;M. Ruiz;OK;sin_repuestos;14.000;0;14.000;Sucursal 3 - Rio Grande;Rio Grande;Tecnico 3;0h 30min;24/12/2021;25/12/2021;2021
SV-001087;EQP-0001;CLI-025;Cliente 025;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;27/3/2022 21:00;28/3/2022 21:00;0,55;S. López;OK;sin_repuestos;15.400;0;15.400;Sucursal 3 - Rio Grande;Rio Grande;Tecnico 5;0h 33min;27/3/2022;28/3/2022;2022
SV-001089;EQP-0001;CLI-025;Cliente 025;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;31/12/2022 21:00;31/12/2022 21:00;0,57;J. Pérez;OK;sin_repuestos;15.960;0;15.960;Sucursal 3 - Rio Grande;Rio Grande;Tecnico 1;0h 34min;31/12/2022;31/12/2022;2022
SV-001091;EQP-0001;CLI-025;Cliente 025;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;24/6/2023 21:00;25/6/2023 21:00;0,45;A. Torres;OK;sin_repuestos;12.600;0;12.600;Sucursal 3 - Rio Grande;Rio Grande;Tecnico 6;0h 27min;24/6/2023;25/6/2023;2023
SV-001092;EQP-0001;CLI-025;Cliente 025;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;6/1/2024 21:00;7/1/2024 21:00;0,59;R. Soto;OK;sin_repuestos;16.520;0;16.520;Sucursal 3 - Rio Grande;Rio Grande;Tecnico 4;0h 35min;6/1/2024;7/1/2024;2024
SV-001094;EQP-0001;CLI-025;Cliente 025;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;24/9/2024 21:00;25/9/2024 21:00;0,56;A. Torres;OK;sin_repuestos;15.680;0;15.680;Sucursal 3 - Rio Grande;Rio Grande;Tecnico 6;0h 34min;24/9/2024;25/9/2024;2024
SV-001096;EQP-0001;CLI-025;Cliente 025;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;29/6/2025 21:00;30/6/2025 21:00;0,45;R. Soto;OK;sin_repuestos;12.600;0;12.600;Sucursal 3 - Rio Grande;Rio Grande;Tecnico 4;0h 27min;29/6/2025;30/6/2025;2025
SV-001097;EQP-0001;CLI-025;Cliente 025;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;27/9/2025 21:00;28/9/2025 21:00;0,31;M. Gómez;OK;sin_repuestos;8.680;0;8.680;Sucursal 3 - Rio Grande;Rio Grande;Tecnico 7;0h 19min;27/9/2025;28/9/2025;2025
