inventario_id;cliente_id;cliente_nombre;tipo_equipo;marca;modelo;fecha_lectura;horometro_h;ubicacion;ciudad;localidad;fecha_lectura_normalizada
EQP-0034;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/1/2022 00:00;10;Obra 1 - Río Grande;Río Grande;Obra 1;1-ene-22
EQP-0084;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;5/1/2022;527;Oficina 3 - Río Grande;Río Grande;Oficina 3;5-ene-22
EQP-0038;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;5/1/2022;78;Taller 1 - Río Grande;Río Grande;Taller 1;5-ene-22
EQP-0095;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;12/1/2022;981;Taller 2 - Río Grande;Río Grande;Taller 2;12-ene-22
EQP-0095;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/2/2022 00:00;154;Taller 2 - Río Grande;Río Grande;Taller 2;1-feb-22
EQP-0034;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/2/2022 00:00;230;Obra 1 - Río Grande;Río Grande;Obra 1;1-feb-22
EQP-0084;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/2/2022 00:00;233;Oficina 3 - Río Grande;Río Grande;Oficina 3;1-feb-22
EQP-0014;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/2/2022;208;Sucursal 4 - Río Grande;Río Grande;Sucursal 4;1-feb-22
EQP-0034;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/3/2022;312;Obra 1 - Río Grande;Río Grande;Obra 1;1-mar-22
EQP-0014;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/3/2022;297;Sucursal 4 - Río Grande;Río Grande;Sucursal 4;1-mar-22
EQP-0084;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/3/2022 00:00;283;Oficina 3 - Río Grande;Río Grande;Oficina 3;1-mar-22
EQP-0034;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/4/2022 00:00;40;Obra 1 - Río Grande;Río Grande;Obra 1;1-abr-22
EQP-0014;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/4/2022 00:00;449;Sucursal 4 - Río Grande;Río Grande;Sucursal 4;1-abr-22
EQP-0095;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/4/2022 00:00;325;Taller 2 - Río Grande;Río Grande;Taller 2;1-abr-22
EQP-0084;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/5/2022 00:00;527;Oficina 3 - Río Grande;Río Grande;Oficina 3;1-may-22
EQP-0034;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/5/2022 00:00;53824;Obra 1 - Río Grande;Río Grande;Obra 1;1-may-22
EQP-0084;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/6/2022 00:00;615;Oficina 3 - Río Grande;Río Grande;Oficina 3;1-jun-22
EQP-0034;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/6/2022 00:00;98528;Obra 1 - Río Grande;Río Grande;Obra 1;1-jun-22
EQP-0095;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/6/2022 00:00;512;Taller 2 - Río Grande;Río Grande;Taller 2;1-jun-22
EQP-0084;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/7/2022 00:00;666;Oficina 3 - Río Grande;Río Grande;Oficina 3;1-jul-22
EQP-0034;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/7/2022 00:00;682;Obra 1 - Río Grande;Río Grande;Obra 1;1-jul-22
EQP-0038;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/7/2022 00:00;116828;Taller 1 - Río Grande;Río Grande;Taller 1;1-jul-22
EQP-0034;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/8/2022 00:00;774;Obra 1 - Río Grande;Río Grande;Obra 1;1-ago-22
EQP-0084;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/8/2022 00:00;759;Oficina 3 - Río Grande;Río Grande;Oficina 3;1-ago-22
EQP-0038;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/8/2022 00:00;205;Taller 1 - Río Grande;Río Grande;Taller 1;1-ago-22
EQP-0014;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/8/2022 00:00;948;Sucursal 4 - Río Grande;Río Grande;Sucursal 4;1-ago-22
EQP-0034;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/9/2022 00:00;94;Obra 1 - Río Grande;Río Grande;Obra 1;1-sept-22
EQP-0038;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/9/2022 00:00;244;Taller 1 - Río Grande;Río Grande;Taller 1;1-sept-22
EQP-0095;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/10/2022 00:00;819;Taller 2 - Río Grande;Río Grande;Taller 2;1-oct-22
EQP-0034;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/10/2022 00:00;1079;Obra 1 - Río Grande;Río Grande;Obra 1;1-oct-22
EQP-0038;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/10/2022;279;Taller 1 - Río Grande;Río Grande;Taller 1;1-oct-22
EQP-0084;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/10/2022 00:00;1007;Oficina 3 - Río Grande;Río Grande;Oficina 3;1-oct-22
