inventario_id;cliente_id;ubicacion;tipo_equipo;marca;modelo;plan_id;actividad;frecuencia_meses;criticidad;programado_para;programado_para_normalizada;estado;fecha_ejecucion;fecha_ejecucion_normalizada;responsable;duracion_estimada_h
EQP-0066;CLI-026;Obra 5 - Ushuaia;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-006;Cambio de filtro de combustible;3;Alta;1/4/2022 00:00;1/4/2022;Ejecutado;Sin datos;null;M. Gómez;1
EQP-0006;CLI-036;Planta 1 - Tolhuin;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-004;Revisión de correas de ventilador y tensión;12;Media;3/1/2025;3/1/2025;Planificado;Sin datos;null;S. López;1
EQP-0038;CLI-044;Taller 1 - Río Grande;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-003;Limpieza de sistema de combustible y drenaje de sedimentos;3;Media;1/5/2024 00:00;1/5/2024;Planificado;Sin datos;null;L. Gómez;1,5
EQP-0025;CLI-005;Oficina 4 - Tolhuin;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-003;Limpieza de sistema de combustible y drenaje de sedimentos;3;Media;1/5/2025 00:00;1/5/2025;Ejecutado;6/5/2025 00:00;6/5/2025;M. Gómez;1,5
EQP-0094;CLI-044;Taller 2 - Ushuaia;Hidrolavadora Karcher;Karcher;HDS 9/18-4 M;KH-004;Limpieza de mangueras y boquillas;1;Baja;1/1/2025;1/1/2025;Ejecutado;31/12/2024 00:00;31/12/2024;J. Pérez;0,5
EQP-0019;CLI-036;Planta 1 - Tolhuin;Generador Generac Guardian;Generac;Guardian 13 kVA (50Hz);GG-001;Cambio de aceite y filtro;6;Alta;1/8/2023 00:00;1/8/2023;Ejecutado;8/8/2023 00:00;8/8/2023;L. Gómez;1,5
EQP-0081;CLI-040;Obra 5 - Ushuaia;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;BAD-LR-006;Cambio de filtro de combustible;3;Alta;1/4/2023 00:00;1/4/2023;Ejecutado;2027-13-40;null;M. Gómez;1
EQP-0064;CLI-038;Depósito 4 - Ushuaia;Hidrolavadora Karcher;Karcher;HDS 12/18-4 S;KH-004;Limpieza de mangueras y boquillas;1;Baja;2027-13-40;null;Planificado;Sin datos;null;M. Ruiz;0,5
EQP-0088;CLI-044;Sucursal 4 - Río Grande;Hidrolavadora Karcher;Karcher;HDS 9/18-4 M;KH-001;Limpieza de filtros de agua y combustible;1;Media;1/2/2025 00:00;1/2/2025;Ejecutado;8/2/2025 00:00;8/2/2025;Sin datos;0,5
EQP-0007;CLI-036;Taller 4 - Ushuaia;Motor Cummins;Cummins;QSB 4.5;CU-003;Sustitución de filtro de aire primario/secundario;6;Media;1/1/2022 00:00;1/1/2022;Ejecutado;7/1/2022 00:00;7/1/2022;A. Torres;1
EQP-0099;CLI-005;Depósito 4 - Río Grande;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;1/4/2025 00:00;1/4/2025;Ejecutado;31/3/2025;31/3/2025;J. Pérez;0,5
EQP-0081;CLI-040;Obra 5 - Río Grande;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-003;Limpieza de sistema de combustible y drenaje de sedimentos;3;Media;1/4/2024 00:00;1/4/2024;Ejecutado;27/3/2024 00:00;27/3/2024;R. Soto;1,5
EQP-0041;CLI-005;Taller 2 - Ushuaia;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-006;Cambio de filtro de combustible;3;Alta;1/4/2024 00:00;1/4/2024;Ejecutado;2/4/2024 00:00;2/4/2024;M. Gómez;1
