inventario_id,cliente_id,ubicacion,tipo_equipo,marca,modelo,plan_id,actividad,frecuencia_meses,criticidad,programado_para,programado_para_normalizada,estado,fecha_ejecucion,fecha_ejecucion_normalizada,responsable,duracion_estimada_h
EQP-0025,CLI-005,Oficina 4 - Tolhuin,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-003,Limpieza de sistema de combustible y drenaje de sedimentos,3,Media,2025-01-05T00:00:00Z,2025-01-05T00:00:00Z,Ejecutado,2025-06-05T00:00:00Z,2025-06-05T00:00:00Z,M. Gómez,"1,5"
EQP-0094,CLI-044,Taller 2 - Ushuaia,Hidrolavadora Karcher,Karcher,HDS 9/18-4 M,KH-004,Limpieza de mangueras y boquillas,1,Baja,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,Ejecutado,2024-12-31T00:00:00Z,2024-12-31T00:00:00Z,J. Pérez,"0,5"
EQP-0019,CLI-036,Planta 1 - Tolhuin,Generador Generac Guardian,Generac,Guardian 13 kVA (50Hz),GG-001,Cambio de aceite y filtro,6,Alta,2023-01-08T00:00:00Z,2023-01-08T00:00:00Z,Ejecutado,2023-08-08T00:00:00Z,2023-08-08T00:00:00Z,L. Gómez,"1,5"
EQP-0088,CLI-044,Sucursal 4 - Río Grande,Hidrolavadora Karcher,Karcher,HDS 9/18-4 M,KH-001,Limpieza de filtros de agua y combustible,1,Media,2025-01-02T00:00:00Z,2025-01-02T00:00:00Z,Ejecutado,2025-08-02T00:00:00Z,2025-08-02T00:00:00Z,Sin datos,"0,5"
EQP-0007,CLI-036,Taller 4 - Ushuaia,Motor Cummins,Cummins,QSB 4.5,CU-003,Sustitución de filtro de aire primario/secundario,6,Media,2022-01-01T00:00:00Z,2022-01-01T00:00:00Z,Ejecutado,2022-07-01T00:00:00Z,2022-07-01T00:00:00Z,A. Torres,1
EQP-0099,CLI-005,Depósito 4 - Río Grande,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-008,Prueba de arranque y verificación de batería,3,Media,2025-01-04T00:00:00Z,2025-01-04T00:00:00Z,Ejecutado,2025-03-31T00:00:00Z,2025-03-31T00:00:00Z,J. Pérez,"0,5"
EQP-0081,CLI-040,Obra 5 - Río Grande,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-003,Limpieza de sistema de combustible y drenaje de sedimentos,3,Media,2024-01-04T00:00:00Z,2024-01-04T00:00:00Z,Ejecutado,2024-03-27T00:00:00Z,2024-03-27T00:00:00Z,R. Soto,"1,5"
EQP-0041,CLI-005,Taller 2 - Ushuaia,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LR-006,Cambio de filtro de combustible,3,Alta,2024-01-04T00:00:00Z,2024-01-04T00:00:00Z,Ejecutado,2024-02-04T00:00:00Z,2024-02-04T00:00:00Z,M. Gómez,1
EQP-0053,CLI-044,Oficina 2 - Ushuaia,Hidrolavadora Karcher,Karcher,HDS 12/18-4 S,KH-003,Revisión del sistema de seguridad y válvula de rebose,3,Alta,2023-01-01T00:00:00Z,2023-01-01T00:00:00Z,Ejecutado,2023-04-01T00:00:00Z,2023-04-01T00:00:00Z,J. Pérez,1
EQP-0097,CLI-044,Sucursal 5 - Ushuaia,Hidrolavadora Karcher,Karcher,HDS 9/18-4 M,KH-004,Limpieza de mangueras y boquillas,1,Baja,2024-01-03T00:00:00Z,2024-01-03T00:00:00Z,Ejecutado,2024-02-28T00:00:00Z,2024-02-28T00:00:00Z,Sin datos,"0,5"
